Num_blocks,Threads,Try_1,Try_2,Try_3
1,2,3.208312,3.244840,3.224218
1,4,1.881271,1.878947,1.878836
1,8,1.217018,1.219617,1.217963
1,16,0.862998,0.859101,0.865464
1,32,0.688068,0.690921,0.650445
1,64,0.605914,0.573126,0.571073
1,128,0.550571,0.520293,0.554559
1,256,0.894490,0.890528,0.861136
2,2,1.807328,1.855969,1.851083
2,4,1.196055,1.182562,1.183781
2,8,0.850386,0.825211,0.803443
2,16,0.686417,0.686719,0.684909
2,32,0.570675,0.593351,0.600401
2,64,0.546829,0.556085,0.543553
2,128,0.932311,0.897057,0.891894
2,256,1.625565,1.599105,1.590512
7,2,0.889468,0.897666,0.896075
7,4,0.747878,0.746156,0.720432
7,8,0.648804,0.651003,0.623696
7,16,0.546561,0.591946,0.570319
7,32,0.885124,0.881536,0.886183
7,64,0.877455,0.878829,0.881118
7,128,0.838930,0.875587,0.866538
7,256,0.861755,0.921664,0.875793
14,2,0.734694,0.750121,0.712046
14,4,0.649847,0.612725,0.641869
14,8,0.596164,0.598255,0.572651
14,16,0.870164,0.883698,0.887348
14,32,0.868168,0.852397,0.871547
14,64,0.870659,0.867375,0.865286
14,128,0.850590,0.834686,0.873406
14,256,5.927998,5.922545,5.919994
21,2,0.727970,0.718246,0.714990
21,4,0.750336,0.793568,0.749323
21,8,0.739425,0.741757,0.718411
21,16,1.197238,1.207162,1.194586
21,32,2.147627,2.150092,2.146517
21,64,2.156450,2.131557,2.145260
21,128,5.946136,5.921998,5.910544
21,256,5.939201,5.941697,5.929809
28,2,0.650794,0.647279,0.628103
28,4,0.597223,0.595939,0.593669
28,8,0.954781,0.887911,0.883428
28,16,0.879083,0.857863,0.850248
28,32,0.870607,0.867175,0.847861
28,64,0.861622,0.868427,0.867879
28,128,5.925623,5.906733,5.940407
28,256,5.977077,5.946896,5.966648
