Num_blocks,Threads,Try_1,Try_2,Try_3
1,2,14.155519,14.214141,14.167207
1,4,8.140514,8.131665,8.122967
1,8,5.082922,5.062108,5.115478
1,16,3.667195,3.620272,3.658931
1,32,2.948515,2.991784,3.033694
1,64,2.682782,2.658678,2.673213
1,128,2.338973,2.393899,2.354312
1,256,2.147751,2.120363,2.160188
2,2,7.963714,8.017349,8.000042
2,4,5.023762,5.046192,5.058968
2,8,3.487195,3.540310,3.518788
2,16,2.743850,2.779787,2.773578
2,32,2.418525,2.415648,2.440197
2,64,2.183837,2.185113,2.199079
2,128,2.071325,2.040667,2.074499
2,256,3.631159,3.613521,3.647347
7,2,3.688625,3.688212,3.700870
7,4,2.858641,2.874745,2.885489
7,8,2.614369,2.626917,2.596372
7,16,2.399819,2.400930,2.373460
7,32,2.276737,2.242498,2.294534
7,64,3.599259,3.641119,3.665978
7,128,3.589370,3.825490,3.640204
7,256,3.582804,3.588437,3.627679
14,2,2.851560,2.810367,2.816633
14,4,2.585338,2.591299,2.590019
14,8,2.367855,2.355026,2.381563
14,16,2.263994,2.268315,2.273623
14,32,3.589639,3.613627,3.656712
14,64,3.586373,3.646262,3.633271
14,128,3.575605,3.624191,3.592861
14,256,3.565710,3.628715,3.574716
21,2,2.659956,2.623439,2.657773
21,4,2.601398,2.646374,2.635759
21,8,3.015114,3.049252,3.026777
21,16,2.961058,2.945840,2.943722
21,32,5.031646,5.038630,5.057428
21,64,9.230064,9.190755,9.225941
21,128,9.229851,9.182097,9.185929
21,256,26.287915,26.196866,26.295943
28,2,2.571960,2.621224,2.603021
28,4,2.395849,2.369586,2.394730
28,8,2.257130,2.311038,2.256658
28,16,3.871717,3.630352,3.638189
28,32,3.571160,3.630643,3.545295
28,64,3.552944,3.616811,3.561148
28,128,3.591687,3.600314,3.606661
28,256,26.250645,26.189801,26.324919
